N,P,K,temperature,humidity,ph,rainfall,label
121.6058659753458,7.612784175323693,49.83313451912057,23.894348261765018,88.22598819105197,6.474334309664718,63.65863065178182,watermelon
35.19146790670381,56.78690187112914,12.191898975306724,16.783376513746436,22.210177849353062,5.3530824186910815,116.93157169240891,kidneybeans
30.391320362074588,61.78677417760851,15.606509548661773,22.495287908206045,62.96392426373694,7.826981593240657,42.07333004190587,lentil
15.536420687242764,71.52991087000316,15.750205407806089,31.077899290484815,69.43587460408229,7.551922005992573,77.39436143512191,blackgram
77.97449592684227,62.07293749104746,48.00205090255984,24.795991001989513,85.68809221231332,6.081296194818457,190.28729952504486,rice
74.00229534570497,50.6123027144883,43.01859758012036,39.389531362813706,93.2635575839817,6.935000178953648,136.14383458269248,papaya
15.653597358205108,37.96398334710215,19.193443959808057,27.067702801848686,66.9740040501126,5.693300505965441,53.24693270806971,mothbeans
25.99822725094815,138.45447204777292,198.5503019147656,32.652332481429454,74.88141930342597,6.014702782998202,89.09329330288946,grapes
0.0,70.65097980152932,12.252282228270236,26.691164797204394,24.880907893750408,5.68384374066158,85.64203066111436,kidneybeans
46.551629916223646,48.21048659817655,8.797387842612762,26.898224190529767,89.51062662354258,7.127642341120119,70.97888314391506,mungbean
33.0,59.0,22.0,22.64236876,21.59396123,5.946999529,122.3886015,kidneybeans
37.68532844426028,144.85684911214392,197.6957016929824,22.552775547651716,94.10050567057337,6.587220255111058,131.09271341004128,apple
135.69548137489056,46.68419513485017,26.60170457615672,28.040115534532173,81.62647616450896,7.354222646438855,81.13729864174772,cotton
28.15442990519166,33.95591628681404,26.740641443663517,28.163508302671996,83.20647326089032,5.565071351531197,173.1933395879108,coconut
39.8690739130881,4.681203559196497,26.87054639672889,29.069113833371595,95.35580363405788,6.009373786064624,196.62681472337488,coconut
34.831011667099354,33.937214072927304,31.39697405395183,33.13573358396079,56.15989770835779,4.847579897436739,80.31111247526266,mango
27.85836299485954,77.11861009473837,14.900499461377287,29.55785689662791,44.15716647007905,6.478440038424603,134.1264883693733,pigeonpeas
12.708566262728196,75.3136393729011,15.78957564725322,30.19409468325976,37.505243606630096,7.204307226408625,169.66291394657227,pigeonpeas
109.39899866041222,32.11060123660877,22.43649775818196,22.971796994188317,84.35359867383035,7.505384728131025,109.39218039332584,cotton
82.13359654715073,18.700457288339962,43.26684059802731,29.888210938697082,93.92273954867522,6.191593874936527,40.007315663192976,muskmelon
19.995067184005972,21.021570329039317,0.0,22.246358689235954,94.41920310750076,6.56565063335147,94.99575291363554,orange
36.0,27.0,26.0,26.58413917,95.78923137,6.25449571,171.6262299,coconut
39.40134455175166,145.0,199.20906968281378,23.71157424928309,89.56500113280164,6.198240589925515,86.35352411015785,apple
0.0,16.20958198002498,17.082725747809878,26.10111411520061,91.0360971761042,7.594606314933253,109.30731655752045,orange
114.50909183438272,40.40124898176993,26.266074968648116,23.294124137620404,79.2372396525293,7.334168733928324,107.33932243621442,cotton
74.53657617727612,41.32406535006444,23.83224545201794,25.538191677452797,59.820578832776064,6.310167624503665,112.79079947737449,maize
25.31779588391704,23.71726527280352,30.873070909058914,28.347989085248706,56.75272877261044,5.826952218271141,95.41402881231977,mango
15.747121302052168,20.08883455498853,37.74552265618814,18.751114033061093,90.63923663580695,7.223473248029848,103.09746449918659,pomegranate
77.64963269570504,60.46932833593931,14.087397075902583,17.527144911882363,76.96066462058862,6.290260468333763,124.72744230481992,maize
96.4782701047293,14.590496453054664,45.00836371129846,27.820381594497523,84.15265545551378,6.8568310721863055,65.19805953392394,watermelon
0.0,137.15474399432568,197.67266236113224,23.205731970742903,82.35806433069524,6.187178448218576,61.08431887624483,grapes
31.0,8.0,7.0,34.51465139,93.63812684,7.163245982,103.5684926,orange
6.438703555251823,73.44722537526397,20.694163368864015,24.158238974311683,62.9226843927414,7.054409332143556,40.27860612320803,lentil
69.59402012381827,39.23173381233995,10.029996661799284,21.603533452611668,59.664969063188806,6.104852772758493,101.1600529366608,maize
95.62873965016497,5.506875669763371,55.864789551153635,27.955378098746657,93.79298530652159,6.153457511323558,10.0,muskmelon
61.71822079977722,51.169345748626,36.60979345480612,21.59838332680969,84.44599650187132,6.063548109064058,260.32471917519956,rice
16.769172514053523,27.5872507585417,41.2332284763645,29.822724817141857,44.867814203228775,4.626724161793762,88.15754214422677,mango
38.43691593597333,59.64089115229571,87.72916757802919,18.882397252117794,12.459838434888031,7.67232509387846,68.6415991223033,chickpea
27.160626756807464,44.38930470188857,14.896798271618637,32.651984155199905,47.54328420999521,9.220601340633143,64.97077598309815,mothbeans
68.92741077921967,44.11620051449511,45.56248233331388,22.86882320868064,79.90022039812307,7.506023547839337,337.20349332629655,rice
29.639487815450202,48.55649248880029,25.598341771724023,27.326277109054242,83.47704096580256,6.356083913617205,51.444730181034316,mungbean
115.4915711257086,40.285386678109674,23.827913447280416,19.013362815679635,84.23064657829893,6.644348579720298,59.34632508364414,cotton
43.61566245772487,69.8539875998053,17.71981874882896,21.529915820360685,20.74530206936681,6.080074733398028,95.33120400665217,kidneybeans
12.410487075057882,136.69887579537013,193.5730773067143,25.56676722246649,89.43884348040925,6.246897222023724,104.15698490643949,apple
114.60396432517817,28.418604560602116,29.697422028857748,27.0296591524874,69.94393739502048,6.5585614079668915,119.67599565965537,coffee
24.93502801476972,55.97291598875928,23.713377441746932,20.863500660861302,21.565082653610062,5.706852436550751,101.33147167747164,kidneybeans
40.42988258326327,67.20122036072705,12.729031469871217,26.813096272485758,63.70561961554448,7.129609678106685,56.2587915778979,blackgram
27.282726093790004,61.54178528943905,13.220172022511946,33.35274930727182,63.830469072039826,9.5,82.65135582849672,mothbeans
